,0
0,0
1,0
2,0
3,1
4,1
5,0
6,0
7,0
8,1
9,1
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,0
23,1
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,1
50,1
51,1
52,0
53,1
54,0
55,0
56,0
57,0
58,1
59,1
60,1
61,0
62,1
63,1
64,1
65,0
66,1
67,0
68,0
69,0
70,0
71,1
72,1
73,0
74,1
75,1
76,1
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,0
89,0
90,0
91,1
92,1
93,0
94,1
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,1
103,1
104,0
105,0
106,0
107,1
108,1
109,1
110,1
111,0
112,0
113,0
114,1
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,0
132,0
133,0
134,0
135,0
136,1
137,0
138,1
139,1
140,0
141,1
142,1
143,1
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,1
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,0
162,0
163,1
164,1
165,0
166,1
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,0
178,0
179,1
180,1
181,0
182,1
183,0
184,0
185,0
186,1
187,1
188,1
189,0
190,1
191,1
192,1
193,1
194,0
195,0
196,1
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
